"s__acidaminiphila" "s__acnes" "s__adhaesivum" "s__adolescentis" "s__aeria" "s__aerofaciens" "s__agalactiae" "s__aggregatus" "s__agilis" "s__ahygroscopicus" "s__alaskensis" "s__albidocapillata" "s__alcaligenes" "s__alkalitolerans" "s__aminovorans" "s__amylolyticus" "s__amylovorum" "s__anaerobius" "s__andropogonis" "s__anginosus" "s__animalis" "s__aquatilis" "s__arupense" "s__arvensicola" "s__asini" "s__aureum" "s__aureus" "s__aurum" "s__autotrophicus" "s__bacteriovorus" "s__balearica" "s__barengoltzii" "s__bifida" "s__bifidum" "s__biforme" "s__biprosthecium" "s__bispora" "s__boronitolerans" "s__bowmanii" "s__brevis" "s__bryantii" "s__bryophila" "s__C21_c20" "s__caccae" "s__caeni" "s__campisalis" "s__canimorsus" "s__cateniformis" "s__catus" "s__cecorum" "s__celatum" "s__celer" "s__cellulosum" "s__chitinolyticus" "s__chondroitinus" "s__cinerea" "s__citronellolis" "s__clausii" "s__coagulans" "s__coleohominis" "s__copri" "s__cosmopolitanus" "s__cryaerophilus" "s__cryoconitis" "s__curvus" "s__delafieldii" "s__delbrueckii" "s__dentocariosa" "s__diminuta" "s__dispar" "s__dispersa" "s__distasonis" "s__doebereinerae" "s__dolichum" "s__durum" "s__echinoides" "s__effusa" "s__eggerthii" "s__eikelboomii" "s__elegans" "s__elkanii" "s__endodontalis" "s__endophyticus" "s__enterica" "s__epidermidis" "s__equi" "s__equorum" "s__europaeus" "s__exhalans" "s__faecis" "s__faecium" "s__fascians" "s__firmus" "s__fischeri" "s__flavefaciens" "s__flexus" "s__formigenes" "s__fragi" "s__fragilis" "s__fulvum" "s__fusca" "s__gargensis" "s__garvieae" "s__gelatinosus" "s__genomosp." "s__genosp." "s__geothermalis" "s__gibsonii" "s__ginsengihumi" "s__gladioli" "s__gnavus" "s__granuli" "s__granulosum" "s__gubbeenense" "s__guillouiae" "s__haemolyticus" "s__haemoperoxidus" "s__halodurans" "s__halophobica" "s__hiranonis" "s__huakuii" "s__humi" "s__hydrocarbonoclasticus" "s__hyovaginalis" "s__hypermegale" "s__ichthyoenteri" "s__indoligenes" "s__iners" "s__infantis" "s__influenzae" "s__insecticola" "s__intermedia" "s__intermedium" "s__invocatus" "s__jenensis" "s__johnsonii" "s__kashmirensis" "s__kestanbolensis" "s__komagatae" "s__kroppenstedtii" "s__kuhniae" "s__kujiense" "s__lanatus" "s__larsenii" "s__lautus" "s__leguminosarum" "s__lenta" "s__lividum" "s__luteciae" "s__luteus" "s__lwoffii" "s__macerans" "s__maitriensis" "s__marcescens" "s__marisflavi" "s__maritypicum" "s__mastitidis" "s__mazei" "s__melaninogenica" "s__melopsittaci" "s__meningoseptica" "s__mephitis" "s__mesenteroides" "s__metschnikovii" "s__mexicana" "s__michiganensis" "s__mobilis" "s__modestum" "s__moniliformis" "s__moorei" "s__morganii" "s__mucilaginosa" "s__muciniphila" "s__mucosa" "s__mucosae" "s__multivorum" "s__multocida" "s__muralis" "s__nanceiensis" "s__natatoria" "s__neonatale" "s__nigrescens" "s__nitroreducens" "s__noxia" "s__obscurus" "s__ochracea" "s__odoratimimus" "s__organophilum" "s__otitis" "s__ovatus" "s__p-1630-c5" "s__pachnodae" "s__pallens" "s__palleronii" "s__palustris" "s__paradoxus" "s__parahaemolyticus" "s__parainfluenzae" "s__parvula" "s__pasteurianum" "s__paucivorans" "s__perfringens" "s__petroleiphilum" "s__pettenkoferi" "s__plebeius" "s__porcinus" "s__porphyrae" "s__prausnitzii" "s__producta" "s__pseudolongum" "s__psychrolactophilus" "s__psychrophilus" "s__psychrotolerans" "s__pulmonis" "s__ramosa" "s__ramosum" "s__rectus" "s__reuszeri" "s__reuteri" "s__rhizophila" "s__rhizosphaerae" "s__rhizovicinus" "s__rimae" "s__rosea" "s__ruber" "s__rugosa" "s__ruminis" "s__rumoiensis" "s__saccharolyticum" "s__salaria" "s__salsilacus" "s__SCA1145" "s__SCA1170" "s__schaedleri" "s__schindleri" "s__sciuri" "s__segnis" "s__selenatarsenatis" "s__serinedens" "s__shigelloides" "s__simulans" "s__socranskii" "s__somerae" "s__stationis" "s__stercorea" "s__stercoris" "s__stuartii" "s__stutzeri" "s__stygium" "s__subflava" "s__subterminale" "s__subterranea" "s__succinicans" "s__succinus" "s__tannerae" "s__Taxon" "s__tenuis" "s__thermodenitrificans" "s__toletana" "s__torques" "s__transvaalensis" "s__tropica" "s__umsongensis" "s__uniformis" "s__variabile" "s__venetianus" "s__veronii" "s__viridans" "s__viridescens" "s__viridiflava" "s__wittichii" "s__xenophagum" "s__yabuuchiae" "s__yanoikuyae" "s__zavarzinii" "s__zeae" "s__zeaxanthinifaciens"
"Meadowlands.Leftpalm" 0 3.4594316186373 0 2.32192809488736 4.39231742277876 2.58496250072116 0 2.58496250072116 0 0 0 0 0 1.58496250072116 1.58496250072116 1.58496250072116 0 0 0 3.16992500144231 4.64385618977472 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 2.58496250072116 0 0 2.58496250072116 0 0 0 5.4594316186373 0 5.52356195605701 0 0 0 0 3.32192809488736 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 1 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.346375218928 0 1.58496250072116 3.32192809488736 0 0 0 0 0 0 4.16992500144231 0 0 0 4.70043971814109 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 3.32192809488736 0 0 0 0 0 0 2.8073549220576 0 0 0 0 0 0 0 0 6.68650052718322 5.58496250072116 0 2.32192809488736 0 3.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.70043971814109 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.16992500144231 1.58496250072116 2.8073549220576 0 0 0 3.90689059560852 0 0 0 0 0 0 1.58496250072116 0 3.4594316186373 0 0 0 0 0 0 0 0 0 0 0 0 0 3.16992500144231 1 0 0 0 0 0 0 0 0 0 0 4.58496250072116 0
"Delmore.Leftpalm" 0 3.16992500144231 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2.32192809488736 0 0 0 0 0 2.8073549220576 7.38370429247405 0 5.20945336562895 0 1 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 1.58496250072116 0 0 1 0 0 0 0 0 0 3.8073549220576 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 14.0993478104032 0 3.70043971814109 0 1.58496250072116 0 0 0 0 0 0 0 1 0 3.32192809488736 0 0 0 0 1 0 0 0 2 0 0 0 1.58496250072116 0 0 0 2.8073549220576 0 0 3.58496250072116 0 7.23840473932508 0 0 0 6.10852445677817 0 0 2.8073549220576 0 0 0 0 0 0 2 0 0 0 0 0 0 4 0 1 0 3.4594316186373 8.67948009950545 6.55458885167764 0 0 0 1 0 0 0 0 0 0 0 2.32192809488736 0 0 2.32192809488736 0 0 0 0 0 2.58496250072116 2.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0 0 6.96578428466209 1 0 0 0 0 3.58496250072116 0 0 0 0 0 0 2.8073549220576 2.58496250072116 5.28540221886225 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0
"Slades.Leftpalm" 0 6.68650052718322 4.95419631038687 0 2.8073549220576 0 0 5.28540221886225 0 0 0 0 0 0 3.8073549220576 0 0 0 0 0 0 0 0 0 0 0 2.8073549220576 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 1 0 0 0 0 0 0 7.8703647195834 0 5.12928301694497 0 1 0 0 7.4262647547021 0 0 0 0 0 0 4.08746284125034 0 0 3.32192809488736 0 0 0 0 0 0 2.8073549220576 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2.58496250072116 0 0 0 0 0 14.4361259139413 0 0 2 0 6.83289001416474 0 0 0 0 0 0 0 0 8.00562454919388 0 0 0 0 0 1 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 4.24792751344359 0 0 0 0 4.52356195605701 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2.58496250072116 3.16992500144231 7.28540221886225 0 0 1 0 1 0 0 1.58496250072116 0 3 0 0 0 0 0 3 0 0 0 0 0 6.06608919045777 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.93073733756289 2.8073549220576 0 0 0 0 5.39231742277876 0 0 0 0 0 0 5 0 4.90689059560852 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 2 0 0 0 5
"Reacher.Leftpalm" 0 6.4262647547021 0 0 4.95419631038687 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2.32192809488736 0 0 0 0 0 0 1 3.70043971814109 5.4594316186373 0 0 0 0 4.70043971814109 2 0 1 0 0 0 3 0 0 2.58496250072116 0 1.58496250072116 0 0 0 0 1.58496250072116 0 0 0 1.58496250072116 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 2 0 0 0 0 0 0 13.7687012530281 0 0 0 5.55458885167764 0 0 0 0 0 1 0 0 0 6.02236781302845 0 0 0 0 0 0 0 0 3.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 3.70043971814109 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 2 0 0 0 0 0 0 0 2 2.32192809488736 0 7.22881869049588 3.90689059560852 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 4.32192809488736 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.71424551766612 0 0 0 0 0 0 0 0 0 0 0 0 4.39231742277876 0 5 0 3.32192809488736 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0
"Charmark.Leftpalm" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 2.58496250072116 0 0 0 0 0 2.32192809488736 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 1 0 0 1 0 0 0 0 0 0 2.58496250072116 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 13.3033526699263 0 0 2.8073549220576 0 0 0 0 0 0 0 0 0 0 4.58496250072116 0 0 0 0 0 0 0 0 3.70043971814109 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 4.16992500144231 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.52356195605701 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.3037807481771 0 0 0 0 0 5.75488750216347 0 0 0 0 0 0 2.32192809488736 0 2 0 2.8073549220576 0 0 0 0 0 0 0 0 0 2.8073549220576 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0
"Cedarhurst.Leftpalm" 0 2 2.8073549220576 1 6 0 6.4093909361377 0 0 0 0 0 0 0 4.24792751344359 0 0 0 2.32192809488736 4.08746284125034 0 0 0 0 0 2.58496250072116 2 0 0 0 0 0 0 0 4.75488750216347 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.08746284125034 0 0 2.32192809488736 0 8.63662462054365 0 0 3.58496250072116 1.58496250072116 0 0 7.75488750216347 0 7.56224242422107 0 3.4594316186373 0 0 5.4262647547021 0 0 0 0 0 0 4.08746284125034 2 0 1.58496250072116 0 0 0 0 1 2 0 0 0 0 0 0 5.83289001416474 2 0 0 0 0 2 0 0 0 0 0 0 4.24792751344359 0 0 0 2.8073549220576 0 0 0 0 3.8073549220576 0 0 0 2 0 0 0 0 2.32192809488736 4.90689059560852 0 0 0 0 0 12.8912141059058 0 0 1.58496250072116 7.2667865406949 0 0 0 0 0 0 0 2 0 4.24792751344359 8.55842071326866 0 0 0 0 0 0 0 6.24792751344359 0 0 0 2.58496250072116 0 0 0 2 0 0 1.58496250072116 0 6 2 4.24792751344359 0 3.58496250072116 0 0 4.08746284125034 0 0 4.70043971814109 0 4 0 2 2.58496250072116 0 0 3.58496250072116 0 0 4 0 1 2 0 6.44294349584873 7.57742882803575 0 2.8073549220576 0 0 0 0 0 0 6.74146698640115 4.4594316186373 0 0 0 0 0 0 0 4.8073549220576 0 0 3.58496250072116 7.43462822763672 1 0 0 0 0 0 0 0 0 0 0 0 0 5.83289001416474 0 5.75488750216347 0 0 0 6.53915881110803 0 0 0 0 0 2.58496250072116 1 2.58496250072116 6.8073549220576 0 3.90689059560852 0 0 1.58496250072116 0 0 0 1 0 0 0 1 3.8073549220576 0 2.32192809488736 1.58496250072116 0 0 1 2.8073549220576 0 0 0 0 0 1.58496250072116
"Postscript.Leftpalm" 0 2.58496250072116 2.58496250072116 0 3.4594316186373 0 0 2.32192809488736 4.4594316186373 0 0 0 0 0 3.58496250072116 0 0 0 1.58496250072116 2.8073549220576 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 1.58496250072116 0 0 0 0 0 0 4.39231742277876 0 6.20945336562895 0 0 0 0 4.8073549220576 2.32192809488736 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 2 0 3.4594316186373 0 1 0 4.64385618977472 0 0 0 0 0 1 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.10852445677817 0 0 0 0 0 0 0 14.3818808742744 0 4.16992500144231 0 5.32192809488736 0 0 0 0 0 0 0 1 2 3.32192809488736 0 0 0 0 0 0 0 0 2 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 5.52356195605701 0 0 0 0 0 0 4.52356195605701 0 0 4.32192809488736 0 2.32192809488736 0 1.58496250072116 0 0 0 1 0 0 0 0 0 3.32192809488736 2.32192809488736 8.51963625284321 4 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 3.58496250072116 0 0 3.32192809488736 3.90689059560852 0 0 0 0 0 0 0 0 0 1 0 0 0 7 1 3.70043971814109 0 0 0 5.12928301694497 0 0 0 0 0 0 0 0 5.90689059560852 0 3.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.90689059560852 0 0 0 0 0 1 0 0 0 1
"Pinrock.Leftpalm" 0 3.16992500144231 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.4594316186373 0 0 0 0 1 0 0 0 0 0 0 0 0 3.90689059560852 0 0 0 0 1 0 0 0 0 0 0 3.16992500144231 0 0 2.58496250072116 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.8208271518032 0 1 0 3.4594316186373 0 0 0 0 0 3.70043971814109 0 0 0 6.3037807481771 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 4 0 5.88264304936184 0 0 0 1 0 0 4.90689059560852 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2.58496250072116 0 0 8.33985000288462 4.58496250072116 0 0 0 1 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.12928301694497 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.59991284218713 0 0 0 0 0 3.32192809488736 0 0 0 0 0 0 3.32192809488736 0 6.71424551766612 0 3.4594316186373 0 0 2.32192809488736 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2
"Salti.Leftpalm" 0 4.24792751344359 1.58496250072116 0 3.4594316186373 2 0 0 0 0 0 0 0 0 4 0 0 0 0 4.4594316186373 0 0 0 0 0 3.32192809488736 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 3.58496250072116 0 0 0 0 0 0 0 0 4 1 0 0 0 5.35755200461808 0 0 3.70043971814109 0 0 0 5.49185309632967 2.58496250072116 8.83605035505807 0 0 0 0 3.58496250072116 0 0 2.32192809488736 0 0 0 0 1.58496250072116 0 3.58496250072116 0 0 2.32192809488736 0 1 1 3 0 0 3.16992500144231 2 0 5.64385618977472 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1.58496250072116 4.85798099512757 0 0 0 0 0 14.1136607842953 0 0 0 6.65821148275179 0 0 0 0 0 0 0 2.58496250072116 0 6.2667865406949 0 0 0 0 0 0 0 0 5.28540221886225 0 0 0 0 0 0 0 0 0 2.8073549220576 0 0 9.65463602852797 2 0 0 0 0 0 5.20945336562895 0 0 1.58496250072116 1.58496250072116 0 0 0 0 0 4.08746284125034 0 0 0 0 0 0 4.16992500144231 0 11.4008794362822 8.29001884693262 0 0 0 0 0 0 0 0 2.32192809488736 0 0 3 0 0 0 0 0 1.58496250072116 0 0 6.4757334309664 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 6.83289001416474 2 5.90689059560852 0 2.58496250072116 0 5.75488750216347 0 0 0 0 0 0 0 0 8.60362634498619 0 4.08746284125034 0 0 1 0 0 0 0 0 0 4.90689059560852 0 5.04439411935845 0 0 3.16992500144231 3 0 1.58496250072116 4.08746284125034 0 1 0 0 0 4.85798099512757
"Larcridge.Leftpalm" 0 1.58496250072116 2 0 3.16992500144231 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.6724253419715 0 4 0 0 0 0 0 0 0 0 0 0 0 3.32192809488736 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 8.17990909001493 0 0 0 0 0 0 0 13.7232343008934 0 0 0 1.58496250072116 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 1.58496250072116 0 0 0 0 1 0 0 3 0 0 3.58496250072116 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.71424551766612 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.7279204545632 0 0 0 0 0 6.14974711950468 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2.58496250072116 0 1.58496250072116 0 0 0 0
